Country,Resource,Stocks and flows,CLASSE,PowerCode,Unit,Year,Value
4.0,1.0,0.0,0.0,1.0,1.0,2009.0,30.93
3.0,1.0,6.0,1.0,1.0,1.0,2009.0,0.108
3.0,1.0,6.0,1.0,1.0,1.0,2007.0,0.006
3.0,1.0,6.0,1.0,1.0,1.0,2006.0,0.023
3.0,1.0,6.0,1.0,1.0,1.0,2003.0,0.123
3.0,1.0,5.0,1.0,1.0,1.0,2018.0,0.007
3.0,1.0,5.0,1.0,1.0,1.0,2016.0,0.006
3.0,1.0,5.0,1.0,1.0,1.0,2013.0,0.002
3.0,1.0,5.0,1.0,1.0,1.0,2012.0,0.058
3.0,1.0,5.0,1.0,1.0,1.0,2009.0,0.108
3.0,1.0,5.0,1.0,1.0,1.0,2007.0,0.006
3.0,1.0,5.0,1.0,1.0,1.0,2006.0,0.023
3.0,1.0,2.0,1.0,1.0,1.0,2005.0,0.011
3.0,1.0,2.0,1.0,1.0,1.0,2006.0,0.01
3.0,1.0,2.0,1.0,1.0,1.0,2007.0,0.016
3.0,1.0,3.0,1.0,1.0,1.0,2000.0,0.011
3.0,1.0,7.0,1.0,1.0,1.0,2017.0,0.009
3.0,1.0,7.0,1.0,1.0,1.0,2015.0,0.009
3.0,1.0,7.0,1.0,1.0,1.0,2014.0,0.067
3.0,1.0,7.0,1.0,1.0,1.0,2011.0,0.025
3.0,1.0,7.0,1.0,1.0,1.0,2010.0,0.019
3.0,1.0,7.0,1.0,1.0,1.0,2008.0,0.001
3.0,1.0,7.0,1.0,1.0,1.0,2005.0,0.033
3.0,1.0,7.0,1.0,1.0,1.0,2004.0,0.011
3.0,1.0,5.0,1.0,1.0,1.0,2003.0,0.123
3.0,1.0,2.0,1.0,1.0,1.0,2016.0,0.007
4.0,1.0,0.0,0.0,1.0,1.0,2010.0,30.497
5.0,1.0,0.0,2.0,1.0,1.0,2016.0,2.25
4.0,1.0,0.0,0.0,1.0,1.0,2012.0,30.613
5.0,1.0,4.0,2.0,1.0,1.0,2002.0,1.796
5.0,1.0,0.0,2.0,1.0,1.0,2015.0,2.206
5.0,1.0,0.0,2.0,1.0,1.0,2014.0,2.008
5.0,1.0,0.0,2.0,1.0,1.0,2013.0,2.104
5.0,1.0,0.0,2.0,1.0,1.0,2012.0,2.148
5.0,1.0,0.0,2.0,1.0,1.0,2011.0,2.118
5.0,1.0,4.0,2.0,1.0,1.0,2005.0,1.488
5.0,1.0,0.0,2.0,1.0,1.0,2010.0,1.811
5.0,1.0,0.0,2.0,1.0,1.0,2008.0,1.51
5.0,1.0,0.0,2.0,1.0,1.0,2007.0,1.393
5.0,1.0,0.0,2.0,1.0,1.0,2006.0,1.488
5.0,1.0,0.0,2.0,1.0,1.0,2005.0,1.525
5.0,1.0,4.0,2.0,1.0,1.0,2004.0,1.525
5.0,1.0,0.0,2.0,1.0,1.0,2004.0,1.796
3.0,1.0,1.0,1.0,1.0,1.0,2018.0,0.0
3.0,1.0,1.0,1.0,1.0,1.0,2017.0,-0.001
3.0,1.0,1.0,1.0,1.0,1.0,2016.0,0.0
5.0,1.0,0.0,2.0,1.0,1.0,2009.0,1.459
3.0,1.0,1.0,1.0,1.0,1.0,2015.0,-0.001
5.0,1.0,4.0,2.0,1.0,1.0,2006.0,1.393
5.0,1.0,4.0,2.0,1.0,1.0,2008.0,1.459
5.0,1.0,1.0,2.0,1.0,1.0,2015.0,0.044
5.0,1.0,1.0,2.0,1.0,1.0,2014.0,0.198
0.0,1.0,1.0,0.0,1.0,1.0,2015.0,0.706
3.0,1.0,6.0,1.0,1.0,1.0,2016.0,0.006
5.0,1.0,1.0,2.0,1.0,1.0,2012.0,-0.044
5.0,1.0,0.0,2.0,1.0,1.0,2003.0,1.796
4.0,1.0,0.0,0.0,1.0,1.0,2011.0,30.56
3.0,1.0,3.0,1.0,1.0,1.0,2004.0,0.026
3.0,1.0,3.0,1.0,1.0,1.0,2002.0,0.017
4.0,1.0,0.0,0.0,1.0,1.0,2013.0,30.817
4.0,1.0,0.0,0.0,1.0,1.0,2004.0,34.389
3.0,1.0,3.0,1.0,1.0,1.0,2001.0,0.01
3.0,1.0,0.0,1.0,1.0,1.0,2015.0,0.219
3.0,1.0,0.0,1.0,1.0,1.0,2017.0,0.197
3.0,1.0,8.0,1.0,1.0,1.0,2018.0,0.0
3.0,1.0,8.0,1.0,1.0,1.0,2017.0,0.0
3.0,1.0,8.0,1.0,1.0,1.0,2016.0,0.0
3.0,1.0,8.0,1.0,1.0,1.0,2015.0,0.0
3.0,1.0,8.0,1.0,1.0,1.0,2014.0,0.0
3.0,1.0,8.0,1.0,1.0,1.0,2013.0,0.0
3.0,1.0,8.0,1.0,1.0,1.0,2012.0,0.0
3.0,1.0,3.0,1.0,1.0,1.0,2003.0,0.017
3.0,1.0,8.0,1.0,1.0,1.0,2011.0,0.0
3.0,1.0,0.0,1.0,1.0,1.0,2016.0,0.198
3.0,1.0,8.0,1.0,1.0,1.0,2009.0,0.0
3.0,1.0,8.0,1.0,1.0,1.0,2007.0,0.0
3.0,1.0,8.0,1.0,1.0,1.0,2006.0,0.0
3.0,1.0,8.0,1.0,1.0,1.0,2005.0,0.0
3.0,1.0,8.0,1.0,1.0,1.0,2004.0,0.0
3.0,1.0,8.0,1.0,1.0,1.0,2003.0,0.0
3.0,1.0,8.0,1.0,1.0,1.0,2002.0,0.0
3.0,1.0,8.0,1.0,1.0,1.0,2001.0,0.0
3.0,1.0,8.0,1.0,1.0,1.0,2000.0,0.0
3.0,1.0,0.0,1.0,1.0,1.0,2018.0,0.18
3.0,1.0,8.0,1.0,1.0,1.0,2008.0,0.0
3.0,1.0,8.0,1.0,1.0,1.0,2010.0,0.0
3.0,1.0,6.0,1.0,1.0,1.0,2018.0,0.007
1.0,1.0,3.0,1.0,1.0,1.0,2015.0,0.076
3.0,1.0,2.0,1.0,1.0,1.0,2001.0,0.01
1.0,1.0,4.0,1.0,1.0,1.0,2001.0,1.267
1.0,1.0,4.0,1.0,1.0,1.0,2002.0,1.226
1.0,1.0,4.0,1.0,1.0,1.0,2003.0,1.167
1.0,1.0,4.0,1.0,1.0,1.0,2004.0,1.132
1.0,1.0,4.0,1.0,1.0,1.0,2005.0,1.088
1.0,1.0,4.0,1.0,1.0,1.0,2006.0,1.031
1.0,1.0,3.0,1.0,1.0,1.0,2018.0,0.054
1.0,1.0,4.0,1.0,1.0,1.0,2007.0,1.055
1.0,1.0,4.0,1.0,1.0,1.0,2009.0,1.07
1.0,1.0,4.0,1.0,1.0,1.0,2010.0,0.968
1.0,1.0,4.0,1.0,1.0,1.0,2011.0,0.907
